A	@@@noun::e
fissile	@@@adjective::ANvika_sAmagrI
fission	@@@noun::viKaMdana/viBaMjana/aNuoM_kA_viBAjana/jIva_koSo_kA_viBAjana
fissiparous	@@@adjective::pqWakawAvAxI
fissure	@@@noun::xarAra
fissured	@@@adjective::xarAraxAra/PatA_huA
fist	@@@noun::mutTI/muTTI
fistcuffs	@@@noun::mukkebAjZI
fistful	@@@noun::muTTI_Bara
fisticuffs	@@@noun::mukkebAjZI
fit	@@@adjective::xurUswa/XqRta-puRta/wEyAra/wanxuruswa/uciwa/svasWa/lAyaka/upayukwa@@@noun::xOrA/xOrA/AveSa/nApa_kA@@@verb::yogya_honA/xOrA_padZanA/wanxuruswa_banAnA/upayukwa_honA/upayukwa_banAnA/svasWa_banAnA/SoBA_xenA/samuciwa_banAnA/saMgawa_honA/pUrI_waraha_samaI_honA/lAyaka_honA/ke_liye_upayukwa_honA/ke_liye_TIka_honA/kAma_ke_upyukwa_banAnA/kAma_ke_upayukwa_banAnA/jodZanA/bETa_jAnA/anurUpa_honA/samAnA/sahI_bETanA
fitful	@@@adjective::aniyamiwa/vyAkula
fitfully	@@@adverb::aniyamiwa_DaMga_se/vyAkulawA_se
fitment	@@@noun::upakaraNa/sAmAna
fitness	@@@noun::yogyawA/xuruswI/svasWa_honA
fitted	@@@adjective::yukwa/upayukwa/sahI_nApa_kA/PZita_kiyA_huA/anurUpa_banAyA_gayA/samA_xenA
fitter	@@@noun::PZitara/miswrI/mekenika/xarjI
fitting	@@@adjective::upayukwa/sAmAyika@@@noun::upaskara/PZitiMga/purjA/anukUlana/sAmAna/kapadZe_banavAnA
fittingly	@@@adverb::upayukwa_rUpa_se
five	@@@adjective::pAzca/paMca@@@noun::pAzca_sAla/pAzca
fivefold	@@@adjective::paMcagunA/pAzca_gunA@@@adverb::pAzca_gunA
fiver	@@@noun::pAzca_pOMda_kA_nota/pAzca_kA_nota
fives	@@@noun::PZAivjZa/eka_geMxa_kA_Kela
fix	@@@noun::ulaJana/riSvawa/muSkila/marammawI/kaTinAI/beimAnI/naSIlI_xavAI/sWApanA@@@verb::xeKanA/wEyAra_karanA/waya_karanA/vyavasWA_karanA/TikAne_lagAnA/TIka_karanA/takatakI_bAzXakara_xeKanA/sWira_karanA/sWApiwa_karanA/sWapiwa_karanA/sWAna_niSciwa_karanA/susajjiwa_karanA/sAWa_xenA/sajA_xenA/riSvawa_xekara_nIyawa_baxala_xenA/riSvawa_xekara_nIyawa_baxalanA/prabaMXa_karanA/paxa_niSciwa_kara_xenA/paxa_niqXAriwa_kara_xenA/pakkA_kara_xenA/pakkA_karanA/pakAnA/niSciwa_karanA/niSciwaanA/niScaya_karanA/nirXAriwa_karanA/nirXariwa_karanA/nipuMsaka_karanA/napuMsaka_karanA/moha_lenA/marramawa_karanA/mAra_dAlanA/lagAnA/kenxriwa_karanA/jodZanA/jimmexArI_sOpanA/jamA_kara_raKanA/GUranA/galawa_rUpa_se_jiwAnA/gadZAnA/gadZA_kara_xeKanAanA/gadZA_kara_xeKanA/beImAnI_karanA/baxalA_lenA/baDAnA/aparAXI_TaharAnA/AMKa_gadZA_kara_xeKanA/AkarRiwa_karanA/AkaqRiwa_karanA/jodanA/sAzTa_gAzTa_karanA/xaMda_xenA/puRta_karanA
fixable	@@@adjective::marammawa_yogya
fixated	@@@adjective::graswa/niyama_viparIwa
fixation	@@@noun::yOgikIkaraNa/graswawA/asAXAraNa_Asakwi
fixative	@@@noun::sWirIkAraka/cipakAne_vAlA_paxArWa/rAsAyanika_paxArWa/goMxa
fixed	@@@adjective::xqDa/sWira/sWAyI/nirXAriwa/sWira_kI_huI/xqDa_kiyA_huA/sWApiwa_kiyA_huA
fixedly	@@@adverb::xqDawApUrvaka
fixer	@@@noun::sWirIkAraka/miswrI/marammawa_karane_vAlA/bicOliyA/rAsAyanika_paxArWa
fixing	@@@noun::marammawI
fixings	@@@noun::anya_sAmagrI
fixity	@@@noun::sWirawA/xqDa_niScaya
fixture	@@@noun::marammawI/krIdZA_prawiyogiwA/jodZA_gayA_upakaraNa/niyawa_Kela/Piksacara{bajalI_pAnI_iwyAxi_kA_sAmAna_jo_GaroM_meM_lagawA_hE}/sWAI
fizz	@@@noun::sasanAhata/Penila_peya/gEsa/gEsa_nikalane_kI_PuPakAra@@@verb::sanasanAnA/AkrAmaka_ruKa
fizzle	@@@verb::sanasanAnA/asaPala_honA
fizzy	@@@adjective::Penila/gEsa_kA_milA_honA
flab	@@@noun::awirikwa_mAzsa
flabbergast	@@@verb::acaMBiwa_karanA
flabbergasted	@@@adjective::BOMcakkA
flabby	@@@adjective::WulaWula/kamajZora/DIlA
flaccid	@@@adjective::kamajZora/DIlA
flack	@@@noun::jamIna_para_se_havAI_jahAja_para__hamalA
flag	@@@noun::Xvaja/pawWara_kI_tukadZoM_se_banI_pagadaMdI/pawWara_kA_tukadZA/pawWara_kA_sila/pawAkA/niSAna/namaBUmi_para_ugane_wAli_moti_GAsa/namaBUmi_meM_ugane_vAle_eka_prakAra_kA_pOXA/lambe_bAloM_vAlA_SikArI_kuwwA/JaNdA/eka_prakAra_kI_motI_GAsa/JaMdA/eka_waraha_kA_pedZa@@@verb::PIkA_padZanA/pawWara_kI_siloM_se_rAswA_banAnA/niruwsAha_honA/murJAnA/muraJA_jAnA/kamajEYora_padZa_jAnA/JaNdiyoM_se_iSArA_karanA/JaNdi_xiKA_kara_rokanA/JaNdA_xiKA_kara_rokanA/JaNdA_gadZanA/DIlA_padZanA/saMkewa_xenA/kamajZora_honA
flagellate	@@@verb::kodZA_mAranA/cAbuka_mAranA/beMwa_mAranA
flagellation	@@@noun::cota
flagged	@@@adjective::pawWara_jadanA
flagon	@@@noun::SarAba_raKane_kI_surAhI
flagpole	@@@noun::JaMdA_PaharAne_kA_swamBa
flagrant	@@@adjective::Gora/jvalaMwa_avahelanA
flagrantly	@@@adverb::KullamaKullA/avahelanA_se
flagship	@@@adjective::sarvowkqRta@@@noun::Xvajapowa/sarvowkqRta_vaswu/muKya
flagstaff	@@@noun::XvajaxaMda/JaMdA_PaharAne_kA_swamBa
flagstone	@@@noun::praswara_KaMda
flail	@@@noun::mUsala@@@verb::jZora_se_hilanA[hilAnA]
flair	@@@noun::sUkRamAxarSiwA/janmajAwa_pravqwwi/pravqwi
flak	@@@noun::kadZI_AlocanA/jamIna_para_se_havAI_jahAja_para__hamalA/samAlocanA/BayaMkara_ladZAI
flake	@@@noun::papadZI/pAgala/sUkRma_tukadZA@@@verb::tukadZe-tukadZe_ho_jAnA/parawa_karanA
flaked	@@@adjective::tukadZoM_meM
flakiness	@@@noun::pAgalapanaa/ajIba_barwAva
flaky	@@@adjective::viciwra/sanakI/papadZIxAra/parawaxAra
flambe	@@@adjective::KAne_ko_jalAnA
flamboyance	@@@noun::wadZaka-BadZaka/AkarRaNa
flamboyant	@@@adjective::TasakexAra/BadZakIlA/svayaM_kI_ora_AkarRiwa_karanA/AkarRaka
flamboyantly	@@@adverb::BadZakIle_DaMga_se/ArkaRaka_rUpa_se
flame	@@@adjective::camacamAwA_huA@@@noun::premikA/premI/jyowi/jvAlA/BadZakawI_huI_Aga/Avega/agni/lapata/BadZakIlA_raMga/wIvra_cewana@@@verb::xahakanA/praxipwa_honA/lAla_honA/jalA_xenA/camakanA/awikruxXa_honA/AveSa_meM_AnA/Aga_lagAnA/Aga_kI_jvAlA/Aga_kA_raMga/kroXiwa_honA
flamenco	@@@noun::PZlamenko/spena_kA_eka_nAca
flaming	@@@adjective::xahakawA_huA/Aga_sI
flamingo	@@@noun::haMsAvara/eka_prakAra_kI_cidZiyA
flammable	@@@adjective::jvalanaSIla
flan	@@@noun::eka_waraha_kA_keka
flange	@@@noun::uBarA_huA_kinArA
flank	@@@noun::pArSva_BAga/pArSva/bagala/bagala{jAnavara_ke}/makAna_kA_kinArA/POja_kA_bagalI_BAga@@@verb::xonoM_bagala_kI_rakRA_karanA/bagala_meM_honA/bIca_meM
flannel	@@@noun::PZalAlena_kI_pEMta/PZalAlena/bakavAsa/PalAlEna@@@verb::bakavAsa_karanA/DIla_DAla_karanA
flannelette	@@@noun::sUwI_PZalAlenaa@@@verb::narama_sUwI_kapadZA
flannels	@@@noun::PZalAlena_kI_pEMta
flap	@@@noun::PlEpa/pallA/PadZaPadZAhata/ciMwAvasWA/PlEpa/paMKa{havAI_jahAjZa_ke}/uwwejanA@@@verb::PadZaPadZAnA/laharAnA/ciMwA_karanA/hilanA[hilAnA]/halke_se_mAranA/cinwA_karanA
flapjack	@@@noun::keka{eka_prakAra_kA}
flapper	@@@noun::SOkIna_mahilA
flare	@@@noun::PElAva@@@noun::hilawI_roSanI/prakASa_kA_saMkewa_xene_vAlI_vaswu@@@verb::XaXakanA/PEla_jAnA/nIce_kI_ora_PEla_jAnA/BadZakanA/BadZaka_kara_kahanA/PElA_huA_honA@@@verb::camakanA[camakAnA]
flaring	@@@adjective::laharAwa_huA
flash	@@@adjective::xiKAvatI/sPuriwa/prawiBASAlI/BadZakIlA/AkarRaka_vsawu@@@noun::xamaka/sPura_prakASa/Poto_KIMcane_meM_prayukwa_prakASa/mahawvapUrNa_samAcAra-kAryakrama/kRaNa/Jalaka/camaka/PlESa_yaMwra/paxa_kA_saMkewa@@@verb::xruwagawi_se_calanA/xiKAvA_karanA/xamaka_uTanA/xamakAnA/wejZI_se_xeKanA/wejZI_se_prasAriwa_karanA/timatimAnA/suJanA/prasAraNa_karanA/prakASiwa_karanA/prakASa_xvArA_saMkewa_karanA/prakASa_xiKA_kara_saMkewa_karanA/prakASa_PElAnA/muskAnA/kRaNa_meM_prasAriwa_karanA/GamaNda_se_xiKAnA/camakAnA/camakanA/AramBa_meM_wadZaka-BadZaka_xiKa_kara_samApwa_ho_jAnA/wIvra_gawi_se_jAnA/samAcAra_xenA/xiKAnA@@@verbal_noun::camakAnA
flashback	@@@noun::pUrvaxqSya/piCalI_kahAnI
flasher	@@@noun::kOMXaka/kAmAMga_praxarSaka/jalawI_buJawI_roSanI
flashiness	@@@noun::BadZakIlApana
flashing	@@@noun::avaroXa
flashlight	@@@noun::tarca/tArca
flashpoint	@@@noun::hiMsAwmaka_kRetra/uwwejanA_kA_samaya
flashy	@@@adjective::BadZakIlA/ciwwa_AkarRaka
flask	@@@noun::pawale_muMha_kI_bowala
flat	@@@adjective::spaRta/sIXAsAxA/sAxA/sapAta/samawala/samAnya/samAna_xara_kA/PIkA/paMcara/nirjIva/nIrasa/nIcA/ekaBAva/cOrasa/ciwa_padZA_huA/capatI/capatA/besvAxa/barAbara/binA_uwAra_caDZAvavAlA/maMxa/eka_samAna/saMgIwa_kA_eka_nota/purAnA_huA_peya/paMkcara_huA/KarAba_honA/binA_GumAva_kA_honA/1PIkA@@@adverb::pUrI_waraha_se/nIrasa/besura/girA_xenA/sIXA_raKanA/binA_uwAra_caDZAva_ke/anumAniwa@@@noun::vAsakakRa/samawala_BUmi/samawala_BAga/paMcara_tAyara/Palaka/nIce_surakA_sUcaka_cinha/nIce_sura_kA_sUcaka_cinha/komala_svara/besura_AvAjZa/Gara/samuxra_kinAre_kA_samawala_BAga
flatfish	@@@noun::capatI_maCalI
flatlet	@@@noun::CotA_PlEta
flatly	@@@adverb::sAPZa-sAPZa/pUrI_waraha_se
flatmate	@@@noun::sAWa_rahane_vAle
flatness	@@@noun::samawalawA
flatten	@@@verb::samawala_honA[karanA]/pUrI_waraha_harA_xenA
flatter	@@@verb::cApalUsI_karanA/KuSa_honA/rOSana_honA[karanA]
flatterer	@@@noun::cApalUsa
flattering	@@@adjective::cApalUsI_karane_vAlA/praSaMsA_karane_yogya
flattery	@@@noun::cApalUsI
flatulence	@@@noun::peta_meM_gEsa_kI_wakalIPa
flatulent	@@@adjective::peta_meM_gEsa_honA/baDZA_caDZAkara_bAwa_karanA
flatus	@@@noun::aXovAyu
flaunt	@@@verb::GamaNda_se_xiKAnA/xiKAvA
flautist	@@@noun::bAzsurI_vAxaka
flavor	@@@noun::svAxa/Plevara/majZA/Jalaka/gaMXa@@@verb::svAxa_lAnA
flavored	@@@adjective::masAlexAra
flavoring	@@@noun::suvAsakArI_paxArWa
flavorless	@@@adjective::besvAxa
flavour	@@@noun::svAxa/raMga/PZlevara/anumAna/aMxAjZA/svAxa/puta@@@verb::KAsa_svAxa_banAnA
flavoured	@@@adjective::masAlexAra/svAxiRta_yA_sugaMXiwa_kiyA_huA
flavouring	@@@noun::suvAsakArI_paxArWa/svAxiRta_banAne_ke_liye_milAyA_gayA_paxArWa
flavourless	@@@adjective::besvAxa/binA_svAxa_kA
flaw	@@@noun::xoRa/wruti/kamajZorI@@@verb::xoRayukwa_honA
flawless	@@@adjective::xoRarahiwa/nirxoRa
flax	@@@noun::eka_CotA_pOXA/XAgA{eka_pOXe_se_banAyA_gayA}
flaxen	@@@adjective::sana_ke_raMga_kA/pilaCOMhA/PIke_pIle_raMga_kA
flea	@@@noun::pIssU/pissU
fleck	@@@noun::XabbA/kaNa/ciwwI@@@verb::Xabbe_dAlanA
fledged	@@@adjective::udZane_yogya/paMKaxAra/majZabUwa_paMKa_sahiwa
fledgeless	@@@adjective::binA_paMka_kA
fledgeling	@@@noun::cidZiyA_kA_baccA/anuBavahIna/udZane_ko_wEyAra_cidZiyA_kA_baccA
fledgling	@@@noun::cidZiyA_kA_baccA/anuBavahIna/udZane_ko_wEyAra_cidZiyA_kA_baccA
flee	@@@verb::ParAra_honA/BAga_jAnA
fleece	@@@noun::UnI_kapadZA/Una/jAnavaroM_ke_SarIra_kI_Una@@@verb::lUtanA/Xana_haWiyAnA
fleecy	@@@adjective::UnI/Una_ke_samAna/mulAyama
fleet	@@@adjective::PurwIlA/wejZa@@@noun::powa-samUha/nOsenA/jahAjZI_bedZA/bedZA/jahAjI_bedZA/gAdZiyoM_kA_samUha
fleeting	@@@adjective::kRaNika/kRaNaBaMgura
fleetingly	@@@adverb::kRaNa_Bara_ko
flesh	@@@noun::vAsanA/SarIraa/sabjZI_kA_gUxA/pIlA-gulAbI_raMga/Pala_kA_gUxA/nikata_sambaMXI/mAsa/mAnava_xeha/mAMsavarNa/mAMsa/maMsa/guxxA/gUxA/carabI/mAzsa@@@verb::yuxXa_meM_walavAra_se_jaKmI_karanA/uwwejiwa_karanA/prowsAhiwa_karanA/viswAra_meM_jAnA
fleshiness	@@@noun::mutApA
fleshly	@@@adjective::xEhika/viRayAsakwa/EMxrika
fleshpots	@@@noun::EyyASI_keMxra/manoraMjana_ke_sWAna
fleshy	@@@adjective::mAMsala/gUxexAra
flex	@@@noun::lacIlA_wAra/bijalI_kA_wAra@@@verb::modZanA/JukAnA
flexibility	@@@noun::sunamyawA/lacIlApana
flexible	@@@adjective::narama/namanSIla/lacIlA/sWiwi_ke_anurUpa_DAlanA
flextime	@@@noun::niSciwa_samaya_na_honA
flibbertigibbet	@@@noun::bakavAsa_karane_vAlA
flick	@@@noun::sinemA/sarasarI_najZara/JatakA/wejZI/sinemA_kI_Pilma@@@verb::Jatake_se_xabAnA/Jatake_se_mAranA/JatakanA/JAdZanA/JatakA_xenA/hilAnA
flicker	@@@noun::timatimAhata/PadZaPadZAhata/Jalaka/ASA_kI_kiraNa@@@verb::timatimAnA/PadZaPadZAnA/JalakanA/camakanA/AnA_jAnA
flier	@@@noun::pracAra-parcI
flies	@@@noun::steja_ke_Upara_kI_jagaha
flight	@@@noun::udZAna/havAI_yAwrA/sIDZiyAz/kalpanA_kI_udZAna@@@noun::xeSAMwara_yAwrA/waya_kI_gaI_xUrI/vimAna_yAwAyAwa/udZAne_vAlA_havAI_jahAjZa/udZAna/Kaga_vqnxa/palAyana@@@verb::vimAna_baxalanA/udZAna_BaranA/udZanA/ParAra_honA/havaI_jahAjZa_calAnA
flightiness	@@@noun::sanakIpana
flightless	@@@adjective::udZAna_rahiwa/udZane_meM_asamarWa
flighty	@@@adjective::caMcala/caMcala_vyavahAra
flimsily	@@@adverb::kamajZora_DaMga_se
flimsiness	@@@noun::BaMgurawA
flimsy	@@@adjective::kamajZora/kaccA/JInA/pawalA_kapadZA/kamajZora
flinch	@@@noun::xarxa_kI_Sikana@@@verb::hicaka/GabarA_jAnA/karAhanA
flinders	@@@noun::CipatI
fling	@@@noun::raMgaralI/jaMgalI_barwAva/CotA-motA_Akasmika_prema-saMbanX/Ananxiwa_honA/prema_prasaMga@@@verb::xqDawApUrvaka_kahanA/wejI_se_GumAnA/patakanA/gusse_meM_PeMkanA/dAlanA/acAnaka_nikAlanA/PeMkanA/XakkA_xenA/hilAnA/pataka_xenA
flint	@@@noun::cakamaka_pawWara/eka_waraha_kA_saKwa_pawWara
flintlock	@@@noun::cakamakI_banxUka/purAne_prakAra_kI_banxUka
flinty	@@@adjective::kaTora/cakamakayukwa/PliMta_pawWara_kI_waraha_saKwa/krUra
flip	@@@adjective::CiCorA/gamBIra_na_honA@@@interjection::Plipa{ArScaya_yA_xuKa_kA_uxgAra}@@@noun::uCAla/palatI/palatAva@@@verb::uCAlanA/Pata_padZanA/palatanA/batana_xabAnA/palatanA{Jatake_se}/uCAlanA/uwwejiwa_honA
flippancy	@@@noun::CiCorApana/halkA_svaBAva
flippant	@@@adjective::CiCorA/gamBIra_na_honA
flippantly	@@@adverb::CiCorepana_se/binA_gamBIrawA_ke
flippantness	@@@noun::CiCorApana
flipper	@@@noun::waraNaka-pAxa/mInapakRa/hilane_vAlA_aMga/Plipara{wErane_meM_sahAyawA_kA_upakaraNa}
flipping	@@@adjective::nApasaMxagI_xiKAnA@@@adverb::nApasaMxagI_xiKAnA
flirt	@@@noun::iSkabAjZa/apane_sOMxarya_se_puruRoM_ko_mohiwa_karane_vAlI/iSkabAjZa@@@verb::sarasarI_wOra_para_socanA/KelanA/coMcalebAjZI_karanA/iSkabAjZI_karanA/vicAra_karanA/KawarA_lenA
flirtation	@@@noun::prema_saMbaMXa/KilavAdZa/iSkabAjZI
flirtatious	@@@adjective::iSkabAjZa/CedZaCAdZa_karanevAlA
flirtatiously	@@@adjective::iSkabAjZI_kI_axA_ke_sAWa
flirty	@@@adjective::iSkabAjZa
flit	@@@noun::BAga_jAnA@@@verb::mazdarAnA/iXara_uXara_udZanA
float	@@@noun::pravahamAna_vaswu/Plaswara_ko_cikanA_karane_kA_haWiyAra/pahiyoM_para_banA_maMca/Coti_gAdZI/wErane_vAlA_paxArWa/JAzkI/rejZagArI@@@verb::XArA_ke_sAWa_bahanA/wEranA/udZAnA/socanA/pravAhiwa_karanA/pravahamANa_rahanA/pravahamAna_rahanA/pracaliwa_karanA/pracaliwa_honA/PElAnA/pAnI_meM_dAlanA/mazdarAnA/maswiRka_ke_sAmane_GUmanA/lAgU_karanA/kAryarawwa_karanA/kAryAnviwa_karanA/jahAjZa_se_BejanA/cAlU_karanA/calAnA/bahAnA/bahanA/AramBa_karanA/rAya_xenA/jZArI_karanA/muxrA_kA_saMwulana_raKanA
floatation	@@@adjective::wErawA_huA
floating	@@@adjective::yAyAvara/asWira
flocculent	@@@adjective::Una_ke_samAna
flock	@@@noun::SiRya_vqnxa/lacCA/JuNda/BIdZaa/gaxxoM_me_Barane_kI_mulAyama_vaswu@@@noun::jAnavaroM_kA_samUha/AxamiyoM_kA_samUha/rcaca_ke_membara@@@verb::jamA_honA/aXika_saMKyA_meM_jAnA/BIdZa_lagAnA
flog	@@@verb::kodZe_lagAnA/becanA/kodZe_mAranA
flogger	@@@noun::kodZA_mArane_vAlA
flogging	@@@noun::kSAGAwa/mAranA_pItanA
flood	@@@noun::oGa-prakASa/jvAra/jalapravAha/jalapralaya/bADZa/bADZ@@@verb::siMcAI_karanA/pAnI_se_Bara_xenA/jvAra_AnA/jalaplAviwa_karanA/jalamaya_karanA/dubo_xenA/Bara_xenA/BarA_rahanA/BaranA/Bara_jAnA/bADa_AnA/aXika_mAtrA_meM_AnA/awyaXika_xenA/pAnI_Bara_jAnA/bADZa_AnA/bahuwAyawa_se/Bara_kara_bahanA
flooded	@@@adjective::jalaplAviwa
floodgate	@@@noun::jalaxvAra/bADZa-xvAra/pAnI_kA_bahAva_rokane_kA_xaravAjZA
flooding	@@@adjective::caDZA_huA@@@noun::bADZa_AnA
floodlight	@@@noun::pUra-prakASa/wejZa_roSanI_vAlI_lAita@@@verb::pUra-prakASiwa_karanA/wejZa_roSanI_se_prakASiwa_karanA
floor	@@@noun::XarAwala/wala/saBAsWala/saBAkakRa/ParSa/Palaka/maMjZila/maMca/jZamIna/jamIna/KAsa_kAryasWala/nimna_mUlya@@@verb::ParSa_banAnA/parAswa_karanA/mAra_girAnA/jamIna_para_girA_xenA/harA_xenA/Bramiwa_kara_xenA/BOMcakkA_kara_xenA/awipravAhiwa_karanA/AScaryacakiwa_kara_xenA/girA_xenA/sawaha_lagAnA
floorboard	@@@noun::ParSI-waKwa/ParSa_banAne_kA_sAmAna
flooring	@@@noun::ParSa
floozie	@@@noun::veSyA/cariwrahIna_mahilA
floozy	@@@noun::veSyA/cariwrahIna_mahilA
flop	@@@adjective::asaPala@@@noun::asaPala_vyakwi/PadZaPadZAne_kI_AvAjZa/pUrNawaH_asaPala@@@verb::pUrI_waraha_asaPala_honA/pasara_jAnA/girA_honA/PadZaPadZAnA/Waka_kara_bETa_jAnA/asaPala_honA
floppy	@@@adjective::latakA_huA@@@noun::PZlapI/narama
flora	@@@noun::vanaspawi
floral	@@@adjective::puRpIya/PUlaxAra/PUloM_se/PUloM_kA
floret	@@@noun::CotA_PUla/goBI_ke_PUla_kA_tukadZA
floriculture	@@@noun::puRpakqRi
florid	@@@adjective::rakwABa/AlaMkArika/xiKAvatI/lalamuhAz
floridly	@@@adverb::AlaMkArika_rUpa_se
florin	@@@noun::Plorina{iMgalEMda_ke_sikke_pAuMda_ke_xasaveM_BAga_ke_mUlya_kA_sikkA}
florist	@@@noun::puRpavikrewA/PUla_becane_vAlA
floss	@@@noun::silka_kA_XAgA/xAzwa_sAPa_karane_kA_XAgA
flotation	@@@adjective::wErawA_huA@@@noun::pravarwana/nikAlanA
flotila	@@@noun::nAvoM_kA_samUha
flotsam	@@@noun::beGara-bekAra/bahawA_huA_kacadZA/samuxra_meM_biKare_jahAjZa_ke_tukadZe
flounce	@@@noun::JAlara@@@verb::AveSa_meM_cala_xenA
flounced	@@@adjective::JAlara_lagA_huA
flounder	@@@noun::PZlAuMdara/eka_waraha_kI_CotI_samuxrI_maCalI@@@verb::latapatAnA/ladZaKadZAnA/atakanA/GabadZA_jAnA
flour	@@@noun::AtA@@@verb::pIsanA/pisanA/pIsa_kara_cUra_banAnA/CidZakanA/Ate_meM_lapetanA
flouridation	@@@noun::pAnI_meM_PlorAida_milAnA
flourine	@@@noun::eka_GAwaka_gEsa
flourish	@@@noun::praBAvaSAlI_warIkA/garvokwi/alaMkqwa_BARA/alaMkaraNa/saMkewa_sahiwa/hAva_BAva_se@@@verb::saPala_honA/samqxXa_honA/saMpanna__honA/panapanA/PalanA-PUl_honA/hilAnA/saPala_honA/svasWa_honA/hilAnA_yA_GumAnA
flourishing	@@@adjective::samqxXa/PalawA-PUlawA/bahuwa_PalawA-PUlawA
flouroscence	@@@noun::camaka
flouroscent	@@@adjective::aMXere_meM_camakane_vAlA_paxArWa
floury	@@@adjective::narama/Ate_se_BarA/Ate_jEsA/Ate_se_sanA_huA/Ate_kI_waraha
flout	@@@verb::avajFA_karanA/avahelanA
flouter	@@@noun::hazsI_udZAne_vAlA
flow	@@@noun::XArA/pravAha/bahAva/XArA/XArA_pravAha@@@verb::XArA_baDanA/uwAr-caDAva_honA/pravAhiwa_honA/laharAnA/jZarI_honA/DalanA/calanA/bahanA/baha_calanA/aXika_saMKyA_meM_AnA-jAnA/anxara_bahanA/sarakanA/anavarawa_pravAha/DIle_DAle/bahuwAyawa_se
flower	@@@noun::PUla/PUla/SreRTa_BAga@@@verb::puRpiwa_honA/KilanA/PUloM_kA_KilanA/baDZanA
flowerbed	@@@noun::puRpa_kyArI
flowered	@@@adjective::puRpa-sajjiwa/puRpiwa
flowering	@@@adjective::puRpiwa/KilA_huA/baDZanA@@@noun::vikAsa/puRpaNa
flowerpot	@@@noun::puRpa_pAtra/gamalA
flowery	@@@adjective::puRpamaya/PUlaxAra/AlaMkArika/PUloMvAlI/alaMkqwa
flu	@@@noun::PZlU/PlU{bImArI}
fluctuate	@@@verb::GatanA-baDZanA/baxalawA_rahanA/GatanA_baDZanA
fluctuation	@@@noun::uwAra-caDZAva/baxalAva/asWirawA
flue	@@@noun::XuAzkaSa/Xuze_kA_nikAsa_mArga
fluency	@@@noun::XArApravAhiwA/sahajawA
fluent	@@@adjective::XArApravAha/vAkpatu/pravAhI/XarApravAha/sahaja
fluently	@@@adverb::XArApravAhiwA_ke_sAWa/binA_rukAvata_ke
fluff	@@@noun::sawahI_manoraMjana/narma_royAz/roAz/jAnavaroM_ke_mulAyama_roEM@@@verb::PulAnA/bigAdZa_xenA
fluffy	@@@adjective::royeMxAra/PUlA_huA/narama/roMyeMxAra/mulAyama
fluid	@@@adjective::warala/pravAhI/asWira/warala/lacIlA@@@noun::warala_paxArWa/xrava_paxArWa
fluidity	@@@FEMALE::asWirawA@@@noun::waralawA/pravAhiwA/lacIlApana
fluke	@@@noun::anAyAsa_saPalawA/wukke_se/akasmAwa
flukey	@@@adjective::saMyogajanya
fluky	@@@adjective::saMyogajanya
flummox	@@@verb::hErAna_karanA/cakarA_xenA/GabarAnA
flummoxed	@@@adjective::BOMcakkA
flump	@@@verb::patakanA
flunk	@@@verb::anuwwIrNa_kara_xenA/anuwwIrNa_ho_jAnA/asaPala_honA
flunkey	@@@noun::pitTU/cAtukAra/caparAsI/varxIXArI_nOkara/sevaka
flunky	@@@noun::pitTU/cAtukAra/caparAsI
fluorescence	@@@noun::prawixIpwi
fluorescent	@@@adjective::prawixIpwiSIla/prawixIpwa
fluoridation	@@@noun::PZloridIkaraNa
fluoride	@@@noun::PZlorAida/PalorIna_gEsa_kA_eka_miSra
fluorine	@@@noun::PZlorAinaa/PlUrina
flurry	@@@noun::ParaParAhata/JoMkA/halacala/acAnaka_honA/hadZabadZAhata
flush	@@@adjective::samqxXa/samawala/bahuwAyawa@@@noun::PZlaSa/prakRAlana/lAlI/Avega/wASa_kA_eka_Kela@@@noun::lAlimA/Avega/pAnI_bahAnA/nayA_vikAsa@@@verb::sAPZa_karanA/pAnI_se_sAPZa_kara_xenA/lAla_ho_jAnA/bahA_xenA/kapola_para_lAlI_CAnA/pAnI_se_bahAnA
flushed	@@@adjective::uwwejiwa/lAla/paripUrNa
fluster	@@@noun::GabadZAhata@@@verb::GabarA_xenA/GabadZAnA
flustered	@@@adjective::uxvigna/GabarAyA_huA
flute	@@@noun::bAzsurI
fluted	@@@adjective::laMbI_XArIxAra/swamBa_Axi_para_kI_gayI_kArIgarI
fluting	@@@noun::XArI_alaMkaraNa/bArIka_kArIgarI
flutist	@@@noun::bAzsurI_vAxaka
flutter	@@@noun::XadZakana/uwAra-caDAva/PadZaPadZAhata/GabarAhata/CotA_xAzva/uwwejanA/kampana/bAjZI_lagAnA@@@verb::XadZakanA/udZanA/PadZaPadZAnA/PadZakAanA/laharAnA/havA_meM_hilanA/hilAnA/wejZa_raPwAra_se_XadZakanA
fluvial	@@@adjective::naXIya/naxI_sambaMXI
flux	@@@noun::pravAha/niraMwara_parivarwana/baxalAva/pravAha
